Sleep Stage,MeanP_Alpha_F4,MeanP_Beta_F4,MeanP_Theta_F4,MeanP_Delta_F4,MeanP_Gamma_F4,MeanP_Alpha_C4,MeanP_Beta_C4,MeanP_Theta_C4,MeanP_Delta_C4,MeanP_Gamma_C4,MeanP_Alpha_O2,MeanP_Beta_O2,MeanP_Theta_O2,MeanP_Delta_O2,MeanP_Gamma_O2,Total_P_F4,Total_P_C4,Total_P_O2,Relative_MeanP_Alpha_F4,Relative_MeanP_Beta_F4,Relative_MeanP_Theta_F4,Relative_MeanP_Delta_F4,Relative_MeanP_Gamma_F4,Relative_MeanP_Alpha_C4,Relative_MeanP_Beta_C4,Relative_MeanP_Theta_C4,Relative_MeanP_Delta_C4,Relative_MeanP_Gamma_C4,Relative_MeanP_Alpha_O2,Relative_MeanP_Beta_O2,Relative_MeanP_Theta_O2,Relative_MeanP_Delta_O2,Relative_MeanP_Gamma_O2,Relative_MeanP_Alpha_G,Relative_MeanP_Beta_G,Relative_MeanP_Theta_G,Relative_MeanP_Delta_G,Relative_MeanP_Gamma_G,DAR_F4,DAR_C4,DAR_O2,DAR_G,DTR_F4,DTR_O2,DTABR_F4,DTABR_C4,DTABR_O2,DTABR_G,P_G
R,0.00016,0.00014,0.00035,0.00356,4.65e-05,0.0001,9.25e-05,0.00021,0.00122,1.39e-05,5.62e-05,5.85e-05,0.0001,0.00076,1.84e-05,0.00426,0.00164,0.000993,0.0376,0.0329,0.0822,0.836,0.0109,0.0611,0.0565,0.128,0.746,0.00849,0.0566,0.0589,0.101,0.765,0.0185,0.155,0.148,0.311,2.35,0.0379,22.3,12.2,13.5,16.0,10.2,7.6,13.0,7.43,7.5,9.32,0.0023
R,0.00017,0.00017,0.00035,0.00564,5.03e-05,0.00012,0.00012,0.0002,0.00158,1.83e-05,5.83e-05,7.16e-05,9.75e-05,0.00144,2.23e-05,0.00638,0.00204,0.00169,0.0266,0.0266,0.0549,0.884,0.00788,0.0589,0.0589,0.0981,0.775,0.00898,0.0345,0.0424,0.0577,0.852,0.0132,0.12,0.128,0.211,2.51,0.0301,33.2,13.2,24.7,23.7,16.1,14.8,17.6,7.42,11.8,12.3,0.00337
R,0.00017,0.00016,0.00026,0.00235,4.84e-05,0.00011,0.00011,0.00018,0.00087,1.62e-05,6.44e-05,6.41e-05,0.00011,0.00064,1.87e-05,0.00299,0.00129,0.000897,0.0569,0.0535,0.087,0.786,0.0162,0.0855,0.0855,0.14,0.676,0.0126,0.0718,0.0714,0.123,0.713,0.0208,0.214,0.211,0.35,2.18,0.0496,13.8,7.91,9.94,10.6,9.04,5.82,7.91,4.77,5.84,6.17,0.00172
R,0.00037,0.00064,0.00046,0.0156,0.00027,0.00028,0.00036,0.00038,0.0117,0.00011,0.00017,0.00023,0.00028,0.00576,8.7e-05,0.0173,0.0129,0.00653,0.0214,0.037,0.0266,0.899,0.0156,0.0218,0.028,0.0295,0.912,0.00855,0.026,0.0352,0.0429,0.882,0.0133,0.0692,0.1,0.099,2.69,0.0375,42.1,41.9,33.9,39.3,33.8,20.6,15.9,18.9,15.1,16.6,0.0122
R,0.00017,0.00017,0.00026,0.00091,5.02e-05,0.00013,0.00012,0.00019,0.00057,1.52e-05,6.36e-05,6.61e-05,9.14e-05,0.0005,1.99e-05,0.00156,0.00103,0.000741,0.109,0.109,0.167,0.583,0.0322,0.127,0.117,0.185,0.556,0.0148,0.0858,0.0892,0.123,0.675,0.0269,0.322,0.315,0.475,1.81,0.0739,5.35,4.38,7.86,5.87,3.5,5.47,3.44,3.04,4.56,3.68,0.00111
R,0.00016,0.00016,0.00022,0.00155,4.89e-05,0.00013,0.00011,0.00017,0.0007,1.41e-05,5.57e-05,5.87e-05,8.08e-05,0.00041,1.92e-05,0.00214,0.00112,0.000624,0.0748,0.0748,0.103,0.725,0.0229,0.116,0.0979,0.151,0.623,0.0125,0.0892,0.094,0.129,0.657,0.0307,0.28,0.267,0.383,2.0,0.0662,9.69,5.38,7.36,7.48,7.05,5.07,5.53,3.63,4.29,4.48,0.0013
R,0.00014,0.00014,0.00022,0.00092,4.83e-05,0.00011,9.86e-05,0.00016,0.00054,1.38e-05,4.87e-05,5.55e-05,7.99e-05,0.00033,1.96e-05,0.00147,0.000922,0.000534,0.0953,0.0953,0.15,0.627,0.0329,0.119,0.107,0.173,0.585,0.015,0.0912,0.104,0.15,0.618,0.0367,0.306,0.306,0.473,1.83,0.0846,6.57,4.91,6.78,6.09,4.18,4.13,4.07,3.36,3.93,3.79,0.000975
R,0.00017,0.00016,0.00024,0.00084,5.02e-05,0.00013,0.00012,0.00019,0.00054,1.53e-05,5.68e-05,6.36e-05,7.77e-05,0.00036,2.02e-05,0.00146,0.000995,0.000578,0.116,0.11,0.164,0.575,0.0344,0.131,0.121,0.191,0.543,0.0154,0.0982,0.11,0.134,0.623,0.0349,0.345,0.34,0.49,1.74,0.0847,4.94,4.15,6.34,5.14,3.5,4.63,3.27,2.92,3.64,3.28,0.00101
R,0.00015,0.00016,0.00026,0.00173,5.16e-05,0.00011,0.00011,0.00018,0.00066,1.62e-05,5.94e-05,6.11e-05,9.82e-05,0.0006,1.94e-05,0.00235,0.00108,0.000838,0.0638,0.068,0.111,0.736,0.0219,0.102,0.102,0.167,0.613,0.0151,0.0709,0.0729,0.117,0.716,0.0231,0.237,0.243,0.395,2.06,0.0601,11.5,6.0,10.1,9.21,6.65,6.11,6.42,3.82,5.79,5.34,0.00142
R,0.00014,0.00014,0.00029,0.00369,5.03e-05,9.53e-05,9.56e-05,0.00018,0.0013,1.4e-05,6.04e-05,6.31e-05,9.82e-05,0.00081,1.96e-05,0.00431,0.00168,0.00105,0.0325,0.0325,0.0673,0.856,0.0117,0.0566,0.0567,0.107,0.772,0.00831,0.0575,0.06,0.0934,0.77,0.0186,0.146,0.149,0.268,2.4,0.0386,26.4,13.6,13.4,17.8,12.7,8.25,14.2,7.75,7.35,9.77,0.00235
R,0.00015,0.00014,0.00032,0.00484,4.75e-05,9.7e-05,9.03e-05,0.00017,0.00161,1.26e-05,5.42e-05,5.39e-05,8.52e-05,0.00065,1.86e-05,0.0055,0.00198,0.000862,0.0273,0.0255,0.0582,0.88,0.00864,0.049,0.0456,0.0859,0.813,0.00636,0.0629,0.0625,0.0989,0.754,0.0216,0.139,0.134,0.243,2.45,0.0366,32.3,16.6,12.0,20.3,15.1,7.63,17.8,9.5,6.8,11.4,0.00278
R,0.00015,0.00015,0.00025,0.00141,5.03e-05,0.0001,9.97e-05,0.00018,0.00071,1.44e-05,5.71e-05,6.19e-05,9.7e-05,0.00055,2.12e-05,0.00201,0.0011,0.000787,0.0746,0.0746,0.124,0.701,0.025,0.0906,0.0903,0.163,0.643,0.013,0.0725,0.0786,0.123,0.699,0.0269,0.238,0.244,0.411,2.04,0.065,9.4,7.1,9.63,8.71,5.64,5.67,5.53,4.46,5.44,5.14,0.0013
R,0.00015,0.00014,0.00026,0.00201,4.78e-05,9.95e-05,9.11e-05,0.00017,0.00089,1.24e-05,5.56e-05,5.67e-05,8.67e-05,0.00053,1.95e-05,0.00261,0.00126,0.000749,0.0575,0.0537,0.0997,0.771,0.0183,0.0788,0.0721,0.135,0.705,0.00982,0.0743,0.0758,0.116,0.708,0.0261,0.211,0.202,0.35,2.18,0.0542,13.4,8.94,9.53,10.6,7.73,6.11,7.83,5.56,5.49,6.29,0.00154
R,0.00018,0.00017,0.0004,0.008,5.19e-05,0.00011,0.00011,0.00021,0.00248,1.64e-05,5.73e-05,6.69e-05,9.03e-05,0.00097,2.1e-05,0.0088,0.00293,0.00121,0.0205,0.0193,0.0454,0.909,0.0059,0.0376,0.0376,0.0718,0.847,0.0056,0.0475,0.0555,0.0749,0.805,0.0174,0.106,0.112,0.192,2.56,0.0289,44.4,22.5,16.9,28.0,20.0,10.7,24.0,12.2,8.54,14.9,0.00431
R,0.0002,0.00016,0.00056,0.00977,4.9e-05,0.00012,0.0001,0.00026,0.00319,1.35e-05,6.02e-05,6.02e-05,0.00012,0.00169,1.96e-05,0.0107,0.00368,0.00195,0.0186,0.0149,0.0521,0.91,0.00456,0.0326,0.0271,0.0706,0.866,0.00366,0.0309,0.0309,0.0615,0.867,0.0101,0.0821,0.0729,0.184,2.64,0.0183,48.9,26.6,28.1,34.5,17.4,14.1,28.7,15.7,15.0,19.8,0.00546
R,0.00018,0.00016,0.00035,0.00322,4.92e-05,0.00011,9.58e-05,0.0002,0.00118,1.35e-05,6.65e-05,6.13e-05,0.00012,0.00086,1.95e-05,0.00396,0.0016,0.00113,0.0455,0.0404,0.0884,0.813,0.0124,0.0688,0.0599,0.125,0.738,0.00844,0.059,0.0544,0.106,0.763,0.0173,0.173,0.155,0.32,2.31,0.0382,17.9,10.7,12.9,13.8,9.2,7.17,10.5,6.71,7.67,8.29,0.00223
R,0.00014,0.00015,0.00026,0.00229,4.94e-05,0.0001,9.76e-05,0.00018,0.00101,1.43e-05,4.96e-05,5.65e-05,7.54e-05,0.00063,1.98e-05,0.00289,0.0014,0.000831,0.0485,0.0519,0.09,0.793,0.0171,0.0713,0.0696,0.128,0.72,0.0102,0.0597,0.068,0.0907,0.758,0.0238,0.179,0.189,0.309,2.27,0.0511,16.4,10.1,12.7,13.1,8.81,8.36,8.79,6.02,6.65,7.15,0.00171
R,0.00016,0.00016,0.00033,0.00743,5.12e-05,0.00011,0.00011,0.00021,0.00217,1.53e-05,5.76e-05,6.31e-05,9.62e-05,0.00106,2.04e-05,0.00813,0.00262,0.0013,0.0197,0.0197,0.0406,0.914,0.0063,0.0421,0.0421,0.0803,0.83,0.00585,0.0444,0.0486,0.0742,0.817,0.0157,0.106,0.11,0.195,2.56,0.0279,46.4,19.7,18.4,28.2,22.5,11.0,24.3,10.8,9.58,14.9,0.00401
R,0.00018,0.00016,0.00025,0.00065,5.08e-05,0.00014,0.00012,0.00019,0.0005,1.62e-05,6.68e-05,6.79e-05,9.85e-05,0.00042,2.02e-05,0.00129,0.000966,0.000673,0.139,0.124,0.194,0.504,0.0394,0.145,0.124,0.197,0.517,0.0168,0.0992,0.101,0.146,0.624,0.03,0.384,0.349,0.537,1.64,0.0861,3.61,3.57,6.29,4.49,2.6,4.26,2.65,2.65,3.85,3.05,0.000977
R,0.0002,0.00019,0.0003,0.00068,5.51e-05,0.00016,0.00014,0.00025,0.00054,1.89e-05,8.62e-05,7.69e-05,0.00014,0.00051,2.05e-05,0.00143,0.00111,0.000834,0.14,0.133,0.211,0.477,0.0387,0.144,0.126,0.225,0.487,0.017,0.103,0.0923,0.168,0.612,0.0246,0.388,0.352,0.604,1.58,0.0803,3.4,3.38,5.92,4.23,2.27,3.64,2.51,2.63,3.99,3.04,0.00112
R,0.00015,0.00015,0.00023,0.00067,4.95e-05,0.00011,9.92e-05,0.00017,0.00047,1.44e-05,6.32e-05,6.25e-05,9.89e-05,0.00038,1.99e-05,0.00125,0.000864,0.000625,0.12,0.12,0.184,0.536,0.0396,0.127,0.115,0.197,0.544,0.0167,0.101,0.1,0.158,0.608,0.0319,0.349,0.335,0.539,1.69,0.0882,4.47,4.27,6.01,4.92,2.91,3.84,3.0,3.06,3.81,3.29,0.000913
R,0.00022,0.00018,0.00045,0.00353,5.28e-05,0.00014,0.00012,0.00026,0.00156,1.5e-05,6.27e-05,6.38e-05,9.92e-05,0.00063,2.07e-05,0.00443,0.0021,0.000876,0.0496,0.0406,0.102,0.796,0.0119,0.0668,0.0573,0.124,0.745,0.00716,0.0715,0.0728,0.113,0.719,0.0236,0.188,0.171,0.339,2.26,0.0427,16.0,11.1,10.0,12.4,7.84,6.35,9.95,7.0,5.76,7.57,0.00247
R,0.00019,0.00018,0.00032,0.00145,5.24e-05,0.00015,0.00014,0.00024,0.00075,1.58e-05,8.18e-05,7.77e-05,0.00012,0.00065,2.07e-05,0.00219,0.0013,0.00095,0.0867,0.0821,0.146,0.661,0.0239,0.116,0.108,0.185,0.579,0.0122,0.0861,0.0818,0.126,0.684,0.0218,0.289,0.272,0.457,1.92,0.0579,7.63,5.0,7.95,6.86,4.53,5.42,4.78,3.41,4.83,4.34,0.00148
R,0.00017,0.00018,0.00025,0.00076,5.15e-05,0.00014,0.00014,0.0002,0.00064,1.6e-05,6.64e-05,6.9e-05,9.42e-05,0.0005,1.95e-05,0.00141,0.00114,0.000749,0.12,0.128,0.177,0.538,0.0365,0.123,0.123,0.176,0.563,0.0141,0.0886,0.0921,0.126,0.667,0.026,0.332,0.343,0.479,1.77,0.0766,4.47,4.57,7.53,5.52,3.04,5.31,2.89,3.0,4.39,3.42,0.0011
R,0.00018,0.00019,0.00026,0.00063,5.37e-05,0.00014,0.00013,0.00021,0.00053,1.73e-05,7.33e-05,7.07e-05,0.0001,0.00042,2.04e-05,0.00131,0.00103,0.000684,0.137,0.145,0.198,0.48,0.0409,0.136,0.127,0.204,0.516,0.0168,0.107,0.103,0.146,0.614,0.0298,0.38,0.374,0.548,1.61,0.0875,3.5,3.79,5.73,4.34,2.42,4.2,2.41,2.74,3.61,2.92,0.00101
R,0.00017,0.00015,0.00029,0.0025,5.17e-05,0.00012,9.98e-05,0.0002,0.00101,1.41e-05,6.16e-05,5.96e-05,0.00011,0.00044,1.95e-05,0.00316,0.00144,0.000691,0.0538,0.0474,0.0917,0.791,0.0164,0.0831,0.0691,0.139,0.699,0.00977,0.0892,0.0863,0.159,0.637,0.0282,0.226,0.203,0.389,2.13,0.0543,14.7,8.42,7.14,10.1,8.62,4.0,8.72,5.51,4.54,6.25,0.00177
R,0.00016,0.00014,0.00034,0.00242,4.92e-05,0.00011,9.46e-05,0.0002,0.00095,1.3e-05,5.11e-05,5.46e-05,8.8e-05,0.00052,1.92e-05,0.00311,0.00137,0.000733,0.0515,0.045,0.109,0.778,0.0158,0.0804,0.0692,0.146,0.695,0.00951,0.0697,0.0745,0.12,0.71,0.0262,0.202,0.189,0.376,2.18,0.0515,15.1,8.64,10.2,11.3,7.12,5.91,9.2,5.62,5.75,6.86,0.00174
R,0.00015,0.00014,0.00022,0.00069,4.81e-05,0.0001,9.71e-05,0.00016,0.00046,1.37e-05,5.21e-05,5.8e-05,7.95e-05,0.00037,1.88e-05,0.00125,0.000831,0.000578,0.12,0.112,0.176,0.553,0.0385,0.12,0.117,0.193,0.554,0.0165,0.0901,0.1,0.137,0.64,0.0325,0.331,0.329,0.506,1.75,0.0875,4.6,4.6,7.1,5.43,3.14,4.65,3.14,3.15,4.08,3.46,0.000886
R,0.00036,0.00066,0.0005,0.00573,0.00029,0.0003,0.00063,0.00036,0.0044,0.00028,0.00028,0.00074,0.00027,0.00464,0.00034,0.00754,0.00597,0.00627,0.0477,0.0875,0.0663,0.76,0.0385,0.0503,0.106,0.0603,0.737,0.0469,0.0447,0.118,0.0431,0.74,0.0542,0.143,0.311,0.17,2.24,0.14,15.9,14.7,16.6,15.7,11.5,17.2,6.11,5.12,4.81,5.35,0.00659
R,0.0002,0.00022,0.00028,0.00076,7.01e-05,0.00015,0.00015,0.00022,0.00057,2.42e-05,8.89e-05,8.28e-05,0.00013,0.00043,2.54e-05,0.00153,0.00111,0.000757,0.131,0.144,0.183,0.497,0.0458,0.135,0.135,0.197,0.512,0.0217,0.117,0.109,0.172,0.568,0.0335,0.383,0.388,0.552,1.58,0.101,3.8,3.8,4.84,4.15,2.71,3.31,2.48,2.63,3.26,2.79,0.00113
R,0.00022,0.00023,0.0003,0.00094,6.1e-05,0.00017,0.00017,0.00024,0.00067,1.98e-05,8.82e-05,8.32e-05,0.00013,0.00051,2.19e-05,0.00175,0.00127,0.000833,0.126,0.131,0.171,0.537,0.0348,0.134,0.134,0.189,0.528,0.0156,0.106,0.0998,0.156,0.612,0.0263,0.365,0.365,0.516,1.68,0.0767,4.27,3.94,5.78,4.67,3.13,3.92,2.76,2.68,3.73,3.06,0.00128
R,0.00021,0.0002,0.00031,0.00077,5.78e-05,0.00017,0.00015,0.00027,0.00076,1.68e-05,7.92e-05,7.57e-05,0.00013,0.00052,2.14e-05,0.00155,0.00137,0.000826,0.136,0.129,0.2,0.497,0.0373,0.124,0.11,0.198,0.556,0.0123,0.0958,0.0916,0.157,0.629,0.0259,0.356,0.331,0.555,1.68,0.0755,3.67,4.47,6.57,4.9,2.48,4.0,2.63,3.22,4.2,3.35,0.00125
R,0.00021,0.00021,0.00031,0.00064,5.9e-05,0.00018,0.00016,0.00024,0.00053,1.72e-05,9.3e-05,8.04e-05,0.00014,0.00039,2.09e-05,0.00143,0.00113,0.000724,0.147,0.147,0.217,0.448,0.0413,0.16,0.142,0.213,0.47,0.0153,0.128,0.111,0.193,0.538,0.0289,0.435,0.4,0.623,1.46,0.0854,3.05,2.94,4.19,3.4,2.06,2.79,2.26,2.26,3.06,2.53,0.00109
R,0.00019,0.00018,0.00026,0.0009,5.7e-05,0.00017,0.00014,0.00022,0.0007,1.59e-05,8.34e-05,8.15e-05,0.00012,0.00045,2.06e-05,0.00159,0.00125,0.000756,0.12,0.113,0.164,0.567,0.0359,0.136,0.112,0.177,0.562,0.0128,0.11,0.108,0.159,0.596,0.0273,0.367,0.334,0.499,1.72,0.0759,4.74,4.12,5.4,4.75,3.46,3.75,3.14,2.97,3.46,3.19,0.0012
R,0.00015,0.00015,0.00027,0.00144,5.54e-05,0.00011,0.0001,0.0002,0.00086,1.38e-05,5.33e-05,5.76e-05,8.17e-05,0.00041,1.95e-05,0.00207,0.00128,0.000622,0.0726,0.0726,0.131,0.697,0.0268,0.0857,0.0779,0.156,0.67,0.0107,0.0857,0.0926,0.131,0.659,0.0313,0.244,0.243,0.418,2.03,0.0689,9.6,7.82,7.69,8.37,5.33,5.02,5.7,5.05,4.43,5.06,0.00132
R,0.00016,0.00015,0.00026,0.0023,5.52e-05,0.00012,0.0001,0.00018,0.00087,1.46e-05,6.34e-05,6.2e-05,0.00011,0.00067,1.94e-05,0.00293,0.00128,0.000925,0.0547,0.0513,0.0889,0.786,0.0189,0.0934,0.0778,0.14,0.677,0.0114,0.0686,0.067,0.119,0.724,0.021,0.217,0.196,0.348,2.19,0.0512,14.4,7.25,10.6,10.7,8.85,6.09,8.26,4.77,6.22,6.42,0.00171
R,0.00015,0.00015,0.00024,0.00113,5.49e-05,0.00012,0.00011,0.00018,0.00062,1.43e-05,5.87e-05,6.07e-05,8.91e-05,0.00047,1.97e-05,0.00172,0.00104,0.000698,0.087,0.087,0.139,0.655,0.0318,0.115,0.105,0.172,0.594,0.0137,0.0841,0.0869,0.128,0.673,0.0282,0.286,0.279,0.439,1.92,0.0737,7.53,5.17,8.01,6.9,4.71,5.27,4.57,3.48,4.68,4.24,0.00116
R,0.00017,0.00017,0.00029,0.00135,5.69e-05,0.00012,0.00011,0.0002,0.00072,1.39e-05,6.76e-05,6.55e-05,0.00011,0.00056,2.02e-05,0.00204,0.00116,0.000823,0.0835,0.0835,0.142,0.663,0.0279,0.103,0.0945,0.172,0.619,0.0119,0.0821,0.0796,0.134,0.68,0.0245,0.269,0.258,0.448,1.96,0.0644,7.94,6.0,8.28,7.41,4.66,5.09,4.82,4.0,5.03,4.62,0.00134
R,0.00019,0.00018,0.00038,0.00492,5.76e-05,0.00013,0.00012,0.00022,0.00166,1.6e-05,6.44e-05,7.38e-05,9.49e-05,0.00061,2.22e-05,0.00573,0.00215,0.000865,0.0332,0.0314,0.0663,0.859,0.0101,0.0606,0.0559,0.103,0.774,0.00746,0.0744,0.0853,0.11,0.705,0.0257,0.168,0.173,0.279,2.34,0.0432,25.9,12.8,9.47,16.0,12.9,6.43,14.3,7.52,5.1,8.98,0.00291
R,0.0003,0.00038,0.00032,0.00099,0.00013,0.00022,0.00025,0.00024,0.0006,5.46e-05,0.00011,0.00013,0.00013,0.00069,4.28e-05,0.00212,0.00136,0.0011,0.142,0.179,0.151,0.467,0.0613,0.161,0.183,0.176,0.44,0.04,0.0997,0.118,0.118,0.626,0.0388,0.402,0.48,0.445,1.53,0.14,3.3,2.73,6.27,4.1,3.09,5.31,1.93,1.79,3.42,2.38,0.00153
R,0.0002,0.00021,0.00026,0.00055,5.41e-05,0.00016,0.00015,0.00022,0.00047,1.92e-05,7.89e-05,7.41e-05,0.00012,0.00044,1.94e-05,0.00127,0.00102,0.000732,0.157,0.165,0.204,0.432,0.0425,0.157,0.147,0.216,0.461,0.0188,0.108,0.101,0.164,0.601,0.0265,0.422,0.413,0.584,1.49,0.0878,2.75,2.94,5.58,3.75,2.12,3.67,1.98,2.23,3.66,2.62,0.00101
R,0.00019,0.00018,0.0003,0.00162,5.33e-05,0.00015,0.00014,0.00023,0.00119,1.9e-05,7.59e-05,7.87e-05,0.00012,0.00083,2.24e-05,0.00234,0.00173,0.00113,0.0811,0.0768,0.128,0.691,0.0227,0.0868,0.081,0.133,0.688,0.011,0.0673,0.0698,0.106,0.736,0.0199,0.235,0.228,0.368,2.12,0.0536,8.53,7.93,10.9,9.13,5.4,6.92,5.19,4.9,6.14,5.41,0.00173
R,0.00017,0.00016,0.00023,0.00078,4.86e-05,0.00013,0.00012,0.00017,0.00051,1.38e-05,7.25e-05,7.29e-05,0.0001,0.00035,1.92e-05,0.00139,0.000944,0.000615,0.122,0.115,0.166,0.562,0.035,0.138,0.127,0.18,0.54,0.0146,0.118,0.119,0.163,0.569,0.0312,0.378,0.361,0.508,1.67,0.0809,4.59,3.92,4.83,4.45,3.39,3.5,3.06,2.72,3.09,2.96,0.000982
R,0.00024,0.00023,0.00032,0.00071,5.38e-05,0.00021,0.00018,0.00028,0.00061,1.84e-05,8.53e-05,7.76e-05,0.00013,0.00041,1.9e-05,0.00155,0.0013,0.000722,0.154,0.148,0.206,0.457,0.0346,0.162,0.139,0.216,0.47,0.0142,0.118,0.107,0.18,0.568,0.0263,0.434,0.394,0.602,1.49,0.0751,2.96,2.9,4.81,3.56,2.22,3.15,2.19,2.28,3.31,2.6,0.00119
R,0.00021,0.0002,0.00029,0.00089,5.16e-05,0.00017,0.00015,0.00024,0.00071,1.6e-05,9.39e-05,8.33e-05,0.00013,0.00045,1.88e-05,0.00164,0.00129,0.000776,0.128,0.122,0.177,0.542,0.0314,0.132,0.117,0.187,0.552,0.0124,0.121,0.107,0.168,0.58,0.0242,0.381,0.346,0.531,1.67,0.0681,4.24,4.18,4.79,4.4,3.07,3.46,2.88,2.97,3.27,3.04,0.00123
R,0.00396,0.0097,0.00209,0.0551,0.00315,0.00377,0.00938,0.00198,0.0677,0.00303,0.00456,0.0103,0.0044,0.528,0.00332,0.074,0.0858,0.551,0.0535,0.131,0.0283,0.745,0.0426,0.0439,0.109,0.0231,0.788,0.0353,0.00828,0.0188,0.00799,0.959,0.00603,0.106,0.259,0.0593,2.49,0.0839,13.9,17.9,116.0,49.2,26.4,120.0,4.19,5.3,35.7,15.1,0.237
W,0.0006,0.00079,0.00054,0.00155,0.00028,0.00058,0.00076,0.00046,0.00063,0.00016,0.00053,0.00081,0.00038,0.00064,0.0002,0.00376,0.00259,0.00256,0.16,0.21,0.144,0.412,0.0745,0.224,0.293,0.178,0.243,0.0618,0.207,0.316,0.148,0.25,0.0781,0.591,0.82,0.47,0.905,0.214,2.58,1.09,1.21,1.63,2.87,1.68,1.5,0.813,0.761,1.03,0.00297
N1,0.00019,0.00023,0.00025,0.00051,0.00014,0.00017,0.00017,0.00022,0.00042,3.37e-05,0.00011,0.00012,0.00018,0.00043,4.54e-05,0.00132,0.00101,0.000885,0.144,0.174,0.189,0.386,0.106,0.168,0.168,0.217,0.414,0.0332,0.124,0.136,0.203,0.486,0.0513,0.436,0.477,0.61,1.29,0.191,2.68,2.47,3.91,3.02,2.04,2.39,1.81,1.88,2.65,2.11,0.00107
N1,0.00019,0.00023,0.00026,0.0008,0.00014,0.00017,0.00017,0.00023,0.00059,3.35e-05,0.00011,0.00013,0.00016,0.00055,4.64e-05,0.00162,0.00119,0.000996,0.117,0.142,0.16,0.494,0.0864,0.142,0.142,0.193,0.494,0.0281,0.11,0.13,0.161,0.552,0.0466,0.37,0.415,0.514,1.54,0.161,4.21,3.47,5.0,4.23,3.08,3.44,2.52,2.41,2.96,2.63,0.00127
N2,0.00021,0.00022,0.00028,0.00114,0.00014,0.00018,0.00016,0.00025,0.00083,3.09e-05,0.00011,0.00011,0.00018,0.00058,4.17e-05,0.00199,0.00145,0.00102,0.106,0.111,0.141,0.573,0.0704,0.124,0.11,0.172,0.572,0.0213,0.108,0.108,0.176,0.568,0.0408,0.337,0.328,0.489,1.71,0.132,5.43,4.61,5.27,5.1,4.07,3.22,3.3,3.18,3.45,3.31,0.00149
N2,0.00024,0.00024,0.00035,0.00115,0.00014,0.0002,0.00018,0.0003,0.00083,3.1e-05,0.00012,0.00012,0.00018,0.00052,4.23e-05,0.00212,0.00154,0.000982,0.113,0.113,0.165,0.542,0.066,0.13,0.117,0.195,0.539,0.0201,0.122,0.122,0.183,0.529,0.0431,0.365,0.352,0.543,1.61,0.129,4.79,4.15,4.33,4.43,3.29,2.89,3.13,2.97,2.92,3.01,0.00155
N2,0.00022,0.00026,0.00031,0.00108,0.00015,0.00021,0.00022,0.00028,0.00108,4.45e-05,0.00013,0.00017,0.00018,0.00073,5.94e-05,0.00202,0.00183,0.00127,0.109,0.129,0.153,0.535,0.0743,0.114,0.12,0.153,0.589,0.0243,0.102,0.134,0.142,0.575,0.0468,0.326,0.383,0.448,1.7,0.145,4.91,5.14,5.62,5.22,3.48,4.06,2.9,3.16,3.03,3.03,0.00171
N2,0.0002,0.00022,0.00028,0.00094,0.00014,0.00018,0.00017,0.00025,0.0007,2.97e-05,0.00012,0.00013,0.00017,0.00049,4.39e-05,0.00178,0.00133,0.000954,0.112,0.124,0.157,0.528,0.0787,0.135,0.128,0.188,0.526,0.0223,0.126,0.136,0.178,0.514,0.046,0.374,0.388,0.524,1.57,0.147,4.7,3.89,4.08,4.22,3.36,2.88,2.9,2.71,2.64,2.75,0.00135
N2,0.00022,0.00021,0.00033,0.0007,0.00013,0.0002,0.00017,0.0003,0.00064,2.84e-05,0.00013,0.00013,0.00018,0.00039,4.34e-05,0.00159,0.00134,0.000873,0.138,0.132,0.208,0.44,0.0818,0.149,0.127,0.224,0.478,0.0212,0.149,0.149,0.206,0.447,0.0497,0.437,0.408,0.638,1.36,0.153,3.18,3.2,3.0,3.13,2.12,2.17,2.4,2.54,2.19,2.38,0.00127
N2,0.00024,0.00023,0.00039,0.00189,0.00013,0.00022,0.00019,0.00035,0.00136,3.02e-05,0.00013,0.00013,0.0002,0.00073,4.28e-05,0.00288,0.00215,0.00123,0.0833,0.0799,0.135,0.656,0.0451,0.102,0.0884,0.163,0.632,0.014,0.105,0.105,0.162,0.592,0.0347,0.291,0.274,0.46,1.88,0.0939,7.88,6.18,5.62,6.56,4.85,3.65,4.85,4.17,3.58,4.2,0.00209
N2,0.00022,0.00021,0.00038,0.00296,0.00013,0.00019,0.00015,0.00034,0.00209,2.87e-05,0.00011,0.00011,0.00018,0.00065,4.16e-05,0.0039,0.0028,0.00109,0.0564,0.0538,0.0974,0.759,0.0333,0.0679,0.0536,0.121,0.747,0.0103,0.101,0.101,0.165,0.595,0.0381,0.225,0.208,0.384,2.1,0.0817,13.5,11.0,5.91,10.1,7.79,3.61,7.77,7.15,3.77,6.23,0.0026
N2,0.00026,0.00028,0.0004,0.00111,0.00014,0.00024,0.00023,0.00035,0.00094,4.03e-05,0.00018,0.0002,0.00025,0.00054,5.39e-05,0.00219,0.0018,0.00122,0.119,0.128,0.183,0.507,0.0639,0.133,0.128,0.194,0.522,0.0224,0.147,0.163,0.204,0.441,0.044,0.399,0.419,0.581,1.47,0.13,4.27,3.92,3.0,3.73,2.78,2.16,2.8,2.74,2.08,2.54,0.00174
